,iter,n_resources,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_q,param_model__splitter,param_model__min_samples_split,param_model__min_samples_leaf,param_model__min_impurity_decrease,param_model__max_features,param_model__max_depth,param_model__ccp_alpha,param_model,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score
10,0,2000,0.07511401176452637,0.0025841885540665768,0.006797472635904948,0.0019816481471752246,3,random,200,100,0.0,0.5,15,0.1,DecisionTreeRegressor(),"{'q': 3, 'model__splitter': 'random', 'model__min_samples_split': 200, 'model__min_samples_leaf': 100, 'model__min_impurity_decrease': 0.0, 'model__max_features': 0.5, 'model__max_depth': 15, 'model__ccp_alpha': 0.1, 'model': DecisionTreeRegressor()}",-4823.076153617387,-4791.331541362505,-4833.013525150178,-4815.80707337669,17.77594983450435,374,-4823.765111467732,-5234.924070816698,-4761.504793258271,-4940.064658514234,210.04069696672568
11,0,2000,0.0646074612935384,0.007395963576245315,0.0072710514068603516,0.0012009528091909121,6,random,200,50,0.0001,sqrt,20,0.0,DecisionTreeRegressor(),"{'q': 6, 'model__splitter': 'random', 'model__min_samples_split': 200, 'model__min_samples_leaf': 50, 'model__min_impurity_decrease': 0.0001, 'model__max_features': 'sqrt', 'model__max_depth': 20, 'model__ccp_alpha': 0.0, 'model': DecisionTreeRegressor()}",-5256.125489973474,-4390.6759471474315,-4292.82999718466,-4646.543811435189,432.8863011524655,362,-5452.304148864934,-4705.24950683372,-4338.652233542461,-4832.068629747038,463.4058441422097
12,0,2000,0.05785679817199707,0.002118202472559158,0.006762266159057617,0.0011271310886228178,5,best,20,10,0.01,log2,10,0.001,DecisionTreeRegressor(),"{'q': 5, 'model__splitter': 'best', 'model__min_samples_split': 20, 'model__min_samples_leaf': 10, 'model__min_impurity_decrease': 0.01, 'model__max_features': 'log2', 'model__max_depth': 10, 'model__ccp_alpha': 0.001, 'model': DecisionTreeRegressor()}",-3131.0497874400658,-2779.1633484073895,-3064.1319746989207,-2991.448370182125,152.5739083590633,134,-2753.6082253137415,-2592.597188744275,-2488.2188994165303,-2611.474771158182,109.16393150789148
13,0,2000,0.058178981145222984,0.005289852019162913,0.007543722788492839,0.001276306271397529,12,random,20,10,0.01,0.7,25,0.001,DecisionTreeRegressor(),"{'q': 12, 'model__splitter': 'random', 'model__min_samples_split': 20, 'model__min_samples_leaf': 10, 'model__min_impurity_decrease': 0.01, 'model__max_features': 0.7, 'model__max_depth': 25, 'model__ccp_alpha': 0.001, 'model': DecisionTreeRegressor()}",-3276.6033359320386,-3023.050490795965,-3096.74175292859,-3132.131859885531,106.49446330511664,160,-3019.2013987268992,-2912.399940529888,-2895.3081912210596,-2942.3031768259493,54.8211295776534
14,0,2000,0.0571436882019043,0.004727286790361625,0.00581669807434082,0.00017626084155368242,11,random,20,100,0.0,0.5,25,0.001,DecisionTreeRegressor(),"{'q': 11, 'model__splitter': 'random', 'model__min_samples_split': 20, 'model__min_samples_leaf': 100, 'model__min_impurity_decrease': 0.0, 'model__max_features': 0.5, 'model__max_depth': 25, 'model__ccp_alpha': 0.001, 'model': DecisionTreeRegressor()}",-4698.067981683686,-4322.25863346208,-4467.8771878574835,-4496.067934334416,154.71307894051748,352,-4883.130960735399,-5205.437640410298,-4466.15423750156,-4851.574279549085,302.63493469822885
15,0,2000,0.055756568908691406,0.004793830171057643,0.006371021270751953,0.0009397451702099107,4,best,20,10,0.001,sqrt,10,0.0,DecisionTreeRegressor(),"{'q': 4, 'model__splitter': 'best', 'model__min_samples_split': 20, 'model__min_samples_leaf': 10, 'model__min_impurity_decrease': 0.001, 'model__max_features': 'sqrt', 'model__max_depth': 10, 'model__ccp_alpha': 0.0, 'model': DecisionTreeRegressor()}",-3184.4209611570363,-3027.909820685999,-3352.8661312488266,-3188.398971030621,132.69267592339568,170,-2754.8507551060156,-2596.104950027407,-2510.6266624380296,-2620.527455857151,101.18858945265899
16,0,2000,0.0531622568766276,0.002351497562100208,0.006187756856282552,0.0004504221200847669,14,random,20,50,0.01,0.7,20,0.001,DecisionTreeRegressor(),"{'q': 14, 'model__splitter': 'random', 'model__min_samples_split': 20, 'model__min_samples_leaf': 50, 'model__min_impurity_decrease': 0.01, 'model__max_features': 0.7, 'model__max_depth': 20, 'model__ccp_alpha': 0.001, 'model': DecisionTreeRegressor()}",-4620.197965055121,-3800.28996620915,-4741.578033862037,-4387.355321708769,418.065049959783,345,-4547.248732963801,-4242.700508310641,-4364.907972199412,-4384.952404491284,125.13656469174089
17,0,2000,0.05586632092793783,0.0030236387476394212,0.007109006245930989,0.0009487311949382608,8,best,50,10,0.0001,0.5,25,0.001,DecisionTreeRegressor(),"{'q': 8, 'model__splitter': 'best', 'model__min_samples_split': 50, 'model__min_samples_leaf': 10, 'model__min_impurity_decrease': 0.0001, 'model__max_features': 0.5, 'model__max_depth': 25, 'model__ccp_alpha': 0.001, 'model': DecisionTreeRegressor()}",-3202.7276692624546,-3189.401550382744,-3408.4171186433646,-3266.848779429521,100.2516578812987,187,-3026.209086440777,-2883.4542903373435,-2723.6293932702524,-2877.764256682791,123.59314986960142
18,0,2000,0.05484835306803385,0.0034306990085970473,0.005972703297932942,0.0004988271409090287,10,best,50,100,0.0001,0.7,10,0.0,DecisionTreeRegressor(),"{'q': 10, 'model__splitter': 'best', 'model__min_samples_split': 50, 'model__min_samples_leaf': 100, 'model__min_impurity_decrease': 0.0001, 'model__max_features': 0.7, 'model__max_depth': 10, 'model__ccp_alpha': 0.0, 'model': DecisionTreeRegressor()}",-4010.675105982152,-4001.6560803079055,-4328.989307798079,-4113.773498029379,152.2250949237698,317,-3969.7391943393486,-4331.989291794307,-3832.0178656762896,-4044.5821172699816,210.8616514340174
19,0,2000,0.054370721181233726,0.0050722807981973764,0.005658864974975586,0.00043765508293286263,14,best,100,10,0.0001,0.5,25,0.01,DecisionTreeRegressor(),"{'q': 14, 'model__splitter': 'best', 'model__min_samples_split': 100, 'model__min_samples_leaf': 10, 'model__min_impurity_decrease': 0.0001, 'model__max_features': 0.5, 'model__max_depth': 25, 'model__ccp_alpha': 0.01, 'model': DecisionTreeRegressor()}",-3772.2015805809037,-3215.277957768655,-3456.273210190003,-3481.250916179854,228.04808668197813,228,-3516.8559313239243,-3248.437187273882,-3041.9075440370775,-3269.0668875449614,194.44481830166296
