,iter,n_resources,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__n_estimators,param_model__min_samples_split,param_model__min_samples_leaf,param_model__min_impurity_decrease,param_model__max_samples,param_model__max_features,param_model__max_depth,param_model__criterion,param_model__bootstrap,param_model,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score
206,1,30000,2.1438889503479004,0.008211398833524373,0.4699414571126302,0.013253933703821153,750,12,13,0.001,0.5,0.5,60,squared_error,True,ExtraTreesRegressor(),"{'model__n_estimators': 750, 'model__min_samples_split': 12, 'model__min_samples_leaf': 13, 'model__min_impurity_decrease': 0.001, 'model__max_samples': 0.5, 'model__max_features': 0.5, 'model__max_depth': 60, 'model__criterion': 'squared_error', 'model__bootstrap': True, 'model': ExtraTreesRegressor()}",-2027.0958542663432,-2012.1348301256107,-2083.431929288095,-2040.8875378933499,30.69719846280068,71,-1982.175884257451,-1987.3179394211643,-1981.486743834202,-1983.660189170939,2.601676549266669
207,1,30000,2.8351763089497886,0.013007805581320994,0.3822213013966878,0.00035613624897421766,600,22,17,0.001,,sqrt,60,squared_error,False,ExtraTreesRegressor(),"{'model__n_estimators': 600, 'model__min_samples_split': 22, 'model__min_samples_leaf': 17, 'model__min_impurity_decrease': 0.001, 'model__max_samples': None, 'model__max_features': 'sqrt', 'model__max_depth': 60, 'model__criterion': 'squared_error', 'model__bootstrap': False, 'model': ExtraTreesRegressor()}",-2041.7702757516097,-2024.4858916887104,-2091.5192313120974,-2052.591799584139,28.415913250730842,75,-1985.4923889617069,-1984.4270409224982,-1982.6010026388485,-1984.1734775076845,1.193942913487931
208,1,30000,207.130513270696,1.171596448675273,0.26430336634318036,0.0027127198340675834,400,12,9,0.0,0.7,sqrt,80,absolute_error,True,ExtraTreesRegressor(),"{'model__n_estimators': 400, 'model__min_samples_split': 12, 'model__min_samples_leaf': 9, 'model__min_impurity_decrease': 0.0, 'model__max_samples': 0.7, 'model__max_features': 'sqrt', 'model__max_depth': 80, 'model__criterion': 'absolute_error', 'model__bootstrap': True, 'model': ExtraTreesRegressor()}",-2021.0713012500003,-2010.159684718472,-2081.8766945444545,-2037.7025601709756,31.551877435607654,70,-1974.5235409895495,-1969.4599690625,-1968.3779213750001,-1970.7871438090167,2.6787067423823223
209,1,30000,0.6463774045308431,0.004427147828264362,0.07039252916971843,0.0007105844422115919,100,42,33,0.01,0.7,1.0,60,squared_error,True,ExtraTreesRegressor(),"{'model__n_estimators': 100, 'model__min_samples_split': 42, 'model__min_samples_leaf': 33, 'model__min_impurity_decrease': 0.01, 'model__max_samples': 0.7, 'model__max_features': 1.0, 'model__max_depth': 60, 'model__criterion': 'squared_error', 'model__bootstrap': True, 'model': ExtraTreesRegressor()}",-2039.494613539952,-2010.1679759097487,-2100.516428851331,-2050.059672767011,37.633549700480195,74,-2000.803221836772,-1997.8264636671036,-2003.275247150695,-2000.6349775515234,2.2276355128855876
210,1,30000,1.6658003330230713,0.008715199612251097,0.19984968503316244,0.005528688070361104,300,92,25,0.0001,,0.5,80,squared_error,False,ExtraTreesRegressor(),"{'model__n_estimators': 300, 'model__min_samples_split': 92, 'model__min_samples_leaf': 25, 'model__min_impurity_decrease': 0.0001, 'model__max_samples': None, 'model__max_features': 0.5, 'model__max_depth': 80, 'model__criterion': 'squared_error', 'model__bootstrap': False, 'model': ExtraTreesRegressor()}",-2023.3093086008794,-2018.0601876467445,-2094.626674305156,-2045.3320568509268,34.922369146120836,72,-1975.2578255460978,-1990.0158772894583,-1991.401022817157,-1985.5582418842375,7.305413042737092
211,1,30000,81.98858602841695,1.3807220105082318,0.07530331611633301,0.0011516291800652866,100,52,13,0.001,0.9,0.5,20,absolute_error,True,ExtraTreesRegressor(),"{'model__n_estimators': 100, 'model__min_samples_split': 52, 'model__min_samples_leaf': 13, 'model__min_impurity_decrease': 0.001, 'model__max_samples': 0.9, 'model__max_features': 0.5, 'model__max_depth': 20, 'model__criterion': 'absolute_error', 'model__bootstrap': True, 'model': ExtraTreesRegressor()}",-1996.5028960000002,-1977.0287313731374,-2075.6887378737874,-2016.4067884156418,42.6659342696032,64,-1954.0596164808242,-1950.7436962499999,-1960.2168824999999,-1955.0067317436078,3.924970057002212
212,1,30000,1.9810389677683513,0.041532318920229384,0.4358336130777995,0.014968237600983517,700,52,9,0.001,0.5,0.5,80,squared_error,True,ExtraTreesRegressor(),"{'model__n_estimators': 700, 'model__min_samples_split': 52, 'model__min_samples_leaf': 9, 'model__min_impurity_decrease': 0.001, 'model__max_samples': 0.5, 'model__max_features': 0.5, 'model__max_depth': 80, 'model__criterion': 'squared_error', 'model__bootstrap': True, 'model': ExtraTreesRegressor()}",-2025.4023503811159,-2006.6986681752303,-2080.5813387856037,-2037.56078578065,31.36381054287163,69,-1983.1693247919045,-1986.337086306537,-1979.8551468034666,-1983.120519300636,2.6464657453982694
213,1,30000,1.638900359471639,0.03407613316396142,0.262398640314738,0.009602487081802849,400,92,5,0.001,0.9,0.5,60,squared_error,True,ExtraTreesRegressor(),"{'model__n_estimators': 400, 'model__min_samples_split': 92, 'model__min_samples_leaf': 5, 'model__min_impurity_decrease': 0.001, 'model__max_samples': 0.9, 'model__max_features': 0.5, 'model__max_depth': 60, 'model__criterion': 'squared_error', 'model__bootstrap': True, 'model': ExtraTreesRegressor()}",-2002.9553235414558,-1986.5970736442712,-2052.199615306379,-2013.9173374973689,27.88126827112159,63,-1953.359670893118,-1961.3857576348692,-1951.4806353707115,-1955.408687966233,4.295479406027934
214,1,30000,353.4619568188985,1.9407685632681382,0.41416295369466144,0.00404259806597964,700,72,9,0.0001,0.5,0.8,60,absolute_error,True,ExtraTreesRegressor(),"{'model__n_estimators': 700, 'model__min_samples_split': 72, 'model__min_samples_leaf': 9, 'model__min_impurity_decrease': 0.0001, 'model__max_samples': 0.5, 'model__max_features': 0.8, 'model__max_depth': 60, 'model__criterion': 'absolute_error', 'model__bootstrap': True, 'model': ExtraTreesRegressor()}",-1967.5237329999998,-1955.9231639592529,-2043.5444425871156,-1988.9971131821228,38.8604482683862,52,-1934.6878158550785,-1938.9146692142858,-1934.2488459285714,-1935.9504436659784,2.103671152219761
215,1,30000,1.075887680053711,0.012062534682629114,0.17698470751444498,0.00045242593073997517,250,82,1,0.001,,sqrt,60,squared_error,True,ExtraTreesRegressor(),"{'model__n_estimators': 250, 'model__min_samples_split': 82, 'model__min_samples_leaf': 1, 'model__min_impurity_decrease': 0.001, 'model__max_samples': None, 'model__max_features': 'sqrt', 'model__max_depth': 60, 'model__criterion': 'squared_error', 'model__bootstrap': True, 'model': ExtraTreesRegressor()}",-1974.5368626199202,-1963.446596709155,-2030.5797243141874,-1989.5210612144208,29.383769455806334,54,-1920.1220606996142,-1922.8589375519252,-1914.6345514140405,-1919.2051832218601,3.4196130451818925
