,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__early_stopping,param_model__l2_regularization,param_model__learning_rate,param_model__loss,param_model__max_bins,param_model__max_depth,param_model__max_features,param_model__max_iter,param_model__max_leaf_nodes,param_model__min_samples_leaf,param_model__n_iter_no_change,param_model__validation_fraction,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,2.838461399078369,0.3969700659922475,0.2694615364074707,0.023213960947077287,True,22.24402731350156,0.07490207577796125,squared_error,238,7,0.6701862669798289,224,31,23,12,0.11268338183958507,"OrderedDict({'model__early_stopping': True, 'model__l2_regularization': 22.24402731350156, 'model__learning_rate': 0.07490207577796125, 'model__loss': 'squared_error', 'model__max_bins': 238, 'model__max_depth': 7, 'model__max_features': 0.6701862669798289, 'model__max_iter': 224, 'model__max_leaf_nodes': 31, 'model__min_samples_leaf': 23, 'model__n_iter_no_change': 12, 'model__validation_fraction': 0.11268338183958507})",-1537.5722304051162,-1583.391058122465,-1579.9696151587912,-1561.05066787667,-1553.8587305676822,-1563.168460426145,16.956151476954346,58
1,2.2239494800567625,0.3114429699295909,0.21070547103881837,0.01673466117025444,True,26.39055316599914,0.04039842879896335,squared_error,238,5,0.627661707655715,185,50,29,12,0.19922939998623368,"OrderedDict({'model__early_stopping': True, 'model__l2_regularization': 26.39055316599914, 'model__learning_rate': 0.04039842879896335, 'model__loss': 'squared_error', 'model__max_bins': 238, 'model__max_depth': 5, 'model__max_features': 0.627661707655715, 'model__max_iter': 185, 'model__max_leaf_nodes': 50, 'model__min_samples_leaf': 29, 'model__n_iter_no_change': 12, 'model__validation_fraction': 0.19922939998623368})",-1744.9845987707417,-1771.6508611422898,-1784.5888360072438,-1767.5752859554743,-1755.259967057554,-1764.8119097866609,13.63742047640633,79
2,3.4894017696380617,0.49130755385697,0.30785574913024905,0.02091138794407842,True,27.437342353928234,0.03324971886296158,squared_error,238,7,0.6310896108101086,225,50,29,13,0.13814732328914414,"OrderedDict({'model__early_stopping': True, 'model__l2_regularization': 27.437342353928234, 'model__learning_rate': 0.03324971886296158, 'model__loss': 'squared_error', 'model__max_bins': 238, 'model__max_depth': 7, 'model__max_features': 0.6310896108101086, 'model__max_iter': 225, 'model__max_leaf_nodes': 50, 'model__min_samples_leaf': 29, 'model__n_iter_no_change': 13, 'model__validation_fraction': 0.13814732328914414})",-1628.2880616301838,-1669.313369127778,-1659.1771599583815,-1638.7361875829222,-1637.1028912964018,-1646.5235339191336,15.240830428586845,71
3,2.7950642108917236,0.36726879546632357,0.27873692512512205,0.018073158038300674,True,12.078237776263999,0.053934990946300665,squared_error,238,5,0.7511601065671764,237,100,18,10,0.1837530185101334,"OrderedDict({'model__early_stopping': True, 'model__l2_regularization': 12.078237776263999, 'model__learning_rate': 0.053934990946300665, 'model__loss': 'squared_error', 'model__max_bins': 238, 'model__max_depth': 5, 'model__max_features': 0.7511601065671764, 'model__max_iter': 237, 'model__max_leaf_nodes': 100, 'model__min_samples_leaf': 18, 'model__n_iter_no_change': 10, 'model__validation_fraction': 0.1837530185101334})",-1636.1168187269984,-1667.9615363159323,-1679.2234188848697,-1652.941029116069,-1640.2914173068702,-1655.3068440701477,16.318461818778875,73
4,3.326621580123901,0.5868300463303608,0.2863530158996582,0.021323859445677298,True,16.180540880277153,0.05028575898582114,squared_error,238,9,0.6848356144921364,215,31,23,12,0.18823904872625433,"OrderedDict({'model__early_stopping': True, 'model__l2_regularization': 16.180540880277153, 'model__learning_rate': 0.05028575898582114, 'model__loss': 'squared_error', 'model__max_bins': 238, 'model__max_depth': 9, 'model__max_features': 0.6848356144921364, 'model__max_iter': 215, 'model__max_leaf_nodes': 31, 'model__min_samples_leaf': 23, 'model__n_iter_no_change': 12, 'model__validation_fraction': 0.18823904872625433})",-1595.5502055997497,-1623.3208312918468,-1634.7814705372168,-1608.197298519612,-1603.156220749654,-1613.0012053396156,14.180361533504428,66
5,3.797480010986328,0.4262487136693179,0.3093315601348877,0.02839701205930976,True,28.066823777211614,0.03522190141730566,squared_error,238,7,0.6918049028301612,203,100,21,12,0.15646003731411653,"OrderedDict({'model__early_stopping': True, 'model__l2_regularization': 28.066823777211614, 'model__learning_rate': 0.03522190141730566, 'model__loss': 'squared_error', 'model__max_bins': 238, 'model__max_depth': 7, 'model__max_features': 0.6918049028301612, 'model__max_iter': 203, 'model__max_leaf_nodes': 100, 'model__min_samples_leaf': 21, 'model__n_iter_no_change': 12, 'model__validation_fraction': 0.15646003731411653})",-1589.0856997401352,-1637.0010874450177,-1630.163929205842,-1606.2690869952487,-1605.919904300736,-1613.6879415373958,17.524913970912383,67
6,3.4381793975830077,0.507097153653283,0.31464056968688964,0.03222884715768879,True,23.439202187728885,0.042663236427654315,squared_error,238,8,0.7297555019407451,192,50,23,14,0.16578527572970275,"OrderedDict({'model__early_stopping': True, 'model__l2_regularization': 23.439202187728885, 'model__learning_rate': 0.042663236427654315, 'model__loss': 'squared_error', 'model__max_bins': 238, 'model__max_depth': 8, 'model__max_features': 0.7297555019407451, 'model__max_iter': 192, 'model__max_leaf_nodes': 50, 'model__min_samples_leaf': 23, 'model__n_iter_no_change': 14, 'model__validation_fraction': 0.16578527572970275})",-1581.6033478754075,-1617.5252292563725,-1618.3777258685723,-1591.3694401798618,-1598.1129234880116,-1601.3977333336452,14.502348817989779,64
7,2.266062831878662,0.36698020154486705,0.22749433517456055,0.03542872792950035,True,27.47615492371132,0.04882031160593667,squared_error,238,5,0.7141555605357797,153,31,27,11,0.15727564251234588,"OrderedDict({'model__early_stopping': True, 'model__l2_regularization': 27.47615492371132, 'model__learning_rate': 0.04882031160593667, 'model__loss': 'squared_error', 'model__max_bins': 238, 'model__max_depth': 5, 'model__max_features': 0.7141555605357797, 'model__max_iter': 153, 'model__max_leaf_nodes': 31, 'model__min_samples_leaf': 27, 'model__n_iter_no_change': 11, 'model__validation_fraction': 0.15727564251234588})",-1742.062408527886,-1772.5964120457375,-1786.953764073791,-1758.8000489786364,-1746.719193220344,-1761.426365369279,16.580586855300872,78
8,2.880079174041748,0.41631762592592164,0.26513080596923827,0.026916416913992006,True,21.591428813732357,0.07053711968029762,squared_error,238,6,0.6000122101505346,187,50,14,13,0.14444018197484193,"OrderedDict({'model__early_stopping': True, 'model__l2_regularization': 21.591428813732357, 'model__learning_rate': 0.07053711968029762, 'model__loss': 'squared_error', 'model__max_bins': 238, 'model__max_depth': 6, 'model__max_features': 0.6000122101505346, 'model__max_iter': 187, 'model__max_leaf_nodes': 50, 'model__min_samples_leaf': 14, 'model__n_iter_no_change': 13, 'model__validation_fraction': 0.14444018197484193})",-1572.5473829317987,-1614.5649249681035,-1615.686529111298,-1595.2826277097245,-1578.7491819344016,-1595.3661293310652,17.76703408945642,63
9,2.774210500717163,0.4617107986242071,0.2325887680053711,0.02789061703690389,True,24.558627118639283,0.062070397352653704,squared_error,238,6,0.6625678612469257,165,100,26,13,0.10198475544816521,"OrderedDict({'model__early_stopping': True, 'model__l2_regularization': 24.558627118639283, 'model__learning_rate': 0.062070397352653704, 'model__loss': 'squared_error', 'model__max_bins': 238, 'model__max_depth': 6, 'model__max_features': 0.6625678612469257, 'model__max_iter': 165, 'model__max_leaf_nodes': 100, 'model__min_samples_leaf': 26, 'model__n_iter_no_change': 13, 'model__validation_fraction': 0.10198475544816521})",-1598.1877246565136,-1639.3502528180213,-1638.9033724944206,-1625.7439600214855,-1623.3000091681117,-1625.0970638317108,14.976835247538839,69
