,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__bootstrap,param_model__ccp_alpha,param_model__criterion,param_model__max_depth,param_model__max_features,param_model__max_leaf_nodes,param_model__max_samples,param_model__min_impurity_decrease,param_model__min_samples_leaf,param_model__min_samples_split,param_model__n_estimators,param_model__oob_score,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
56,102.64117018381755,0.7571969604427669,3.920858303705851,0.27428264634269905,True,0.0034445052751984604,squared_error,40,0.6,1500,0.9,0.17225850746538035,2,6,550,False,"OrderedDict({'model__bootstrap': True, 'model__ccp_alpha': 0.0034445052751984604, 'model__criterion': 'squared_error', 'model__max_depth': 40, 'model__max_features': 0.6, 'model__max_leaf_nodes': 1500, 'model__max_samples': 0.9, 'model__min_impurity_decrease': 0.17225850746538035, 'model__min_samples_leaf': 2, 'model__min_samples_split': 6, 'model__n_estimators': 550, 'model__oob_score': False})",-1444.3658091565396,-1458.058505639318,-1439.9590085582342,-1447.4611077846973,7.706430381836752,1
57,103.20664127667744,0.8323530740932676,4.513071298599243,0.0733749423264236,True,0.0,squared_error,65,0.6,1500,0.9,0.2,2,6,550,False,"OrderedDict({'model__bootstrap': True, 'model__ccp_alpha': 0.0, 'model__criterion': 'squared_error', 'model__max_depth': 65, 'model__max_features': 0.6, 'model__max_leaf_nodes': 1500, 'model__max_samples': 0.9, 'model__min_impurity_decrease': 0.2, 'model__min_samples_leaf': 2, 'model__min_samples_split': 6, 'model__n_estimators': 550, 'model__oob_score': False})",-1444.3658091565396,-1458.058505639318,-1439.9590085582342,-1447.4611077846973,7.706430381836752,1
58,102.64379978179932,0.08490257813417447,4.548164049784343,0.09516905322912401,True,0.0,squared_error,42,0.6,1500,0.9,0.06945779042964444,2,6,550,False,"OrderedDict({'model__bootstrap': True, 'model__ccp_alpha': 0.0, 'model__criterion': 'squared_error', 'model__max_depth': 42, 'model__max_features': 0.6, 'model__max_leaf_nodes': 1500, 'model__max_samples': 0.9, 'model__min_impurity_decrease': 0.06945779042964444, 'model__min_samples_leaf': 2, 'model__min_samples_split': 6, 'model__n_estimators': 550, 'model__oob_score': False})",-1444.3658091565396,-1458.058505639318,-1439.9590085582342,-1447.4611077846973,7.706430381836752,1
59,104.68093705177307,0.28307462855753784,4.464258909225464,0.38801896002317965,True,0.0,squared_error,54,0.6,1500,0.9,0.19444038698340516,2,6,550,False,"OrderedDict({'model__bootstrap': True, 'model__ccp_alpha': 0.0, 'model__criterion': 'squared_error', 'model__max_depth': 54, 'model__max_features': 0.6, 'model__max_leaf_nodes': 1500, 'model__max_samples': 0.9, 'model__min_impurity_decrease': 0.19444038698340516, 'model__min_samples_leaf': 2, 'model__min_samples_split': 6, 'model__n_estimators': 550, 'model__oob_score': False})",-1444.3658091565396,-1458.058505639318,-1439.9590085582342,-1447.4611077846973,7.706430381836752,1
60,103.38847581545512,2.0273632044605066,4.46985109647115,0.15496145893067048,True,0.0,squared_error,47,0.6,1500,0.9,0.13055179378670626,2,6,550,False,"OrderedDict({'model__bootstrap': True, 'model__ccp_alpha': 0.0, 'model__criterion': 'squared_error', 'model__max_depth': 47, 'model__max_features': 0.6, 'model__max_leaf_nodes': 1500, 'model__max_samples': 0.9, 'model__min_impurity_decrease': 0.13055179378670626, 'model__min_samples_leaf': 2, 'model__min_samples_split': 6, 'model__n_estimators': 550, 'model__oob_score': False})",-1444.3658091565396,-1458.058505639318,-1439.9590085582342,-1447.4611077846973,7.706430381836752,1
61,102.125075340271,0.3737390857220623,4.921615362167358,0.17867149567045193,True,0.0,squared_error,51,0.6,1500,0.9,0.2,2,6,550,False,"OrderedDict({'model__bootstrap': True, 'model__ccp_alpha': 0.0, 'model__criterion': 'squared_error', 'model__max_depth': 51, 'model__max_features': 0.6, 'model__max_leaf_nodes': 1500, 'model__max_samples': 0.9, 'model__min_impurity_decrease': 0.2, 'model__min_samples_leaf': 2, 'model__min_samples_split': 6, 'model__n_estimators': 550, 'model__oob_score': False})",-1444.3658091565396,-1458.058505639318,-1439.9590085582342,-1447.4611077846973,7.706430381836752,1
62,106.65251660346985,0.6513012215319576,4.533175388971965,0.6296606765695794,True,0.01560583254940273,squared_error,56,0.6,1500,0.9,0.05371929352113891,2,6,550,False,"OrderedDict({'model__bootstrap': True, 'model__ccp_alpha': 0.01560583254940273, 'model__criterion': 'squared_error', 'model__max_depth': 56, 'model__max_features': 0.6, 'model__max_leaf_nodes': 1500, 'model__max_samples': 0.9, 'model__min_impurity_decrease': 0.05371929352113891, 'model__min_samples_leaf': 2, 'model__min_samples_split': 6, 'model__n_estimators': 550, 'model__oob_score': False})",-1444.3658091565396,-1458.058505639318,-1439.9590085582342,-1447.4611077846973,7.706430381836752,1
63,106.33929061889648,0.8629251615795697,5.023469607035319,0.0762053877223679,True,0.0,squared_error,42,0.6,1500,0.9,0.19925756523638027,2,6,550,False,"OrderedDict({'model__bootstrap': True, 'model__ccp_alpha': 0.0, 'model__criterion': 'squared_error', 'model__max_depth': 42, 'model__max_features': 0.6, 'model__max_leaf_nodes': 1500, 'model__max_samples': 0.9, 'model__min_impurity_decrease': 0.19925756523638027, 'model__min_samples_leaf': 2, 'model__min_samples_split': 6, 'model__n_estimators': 550, 'model__oob_score': False})",-1444.3658091565396,-1458.058505639318,-1439.9590085582342,-1447.4611077846973,7.706430381836752,1
64,107.32644557952881,0.30636034969009246,4.53555957476298,0.0036235232324130697,True,0.0,squared_error,44,0.6,1500,0.9,0.16428312327678118,2,6,550,False,"OrderedDict({'model__bootstrap': True, 'model__ccp_alpha': 0.0, 'model__criterion': 'squared_error', 'model__max_depth': 44, 'model__max_features': 0.6, 'model__max_leaf_nodes': 1500, 'model__max_samples': 0.9, 'model__min_impurity_decrease': 0.16428312327678118, 'model__min_samples_leaf': 2, 'model__min_samples_split': 6, 'model__n_estimators': 550, 'model__oob_score': False})",-1444.3658091565396,-1458.058505639318,-1439.9590085582342,-1447.4611077846973,7.706430381836752,1
65,102.9826889038086,0.3824273568924933,4.4001132647196455,0.26189103023932137,True,0.0,squared_error,60,0.6,1500,0.9,0.11064350325823717,2,6,550,False,"OrderedDict({'model__bootstrap': True, 'model__ccp_alpha': 0.0, 'model__criterion': 'squared_error', 'model__max_depth': 60, 'model__max_features': 0.6, 'model__max_leaf_nodes': 1500, 'model__max_samples': 0.9, 'model__min_impurity_decrease': 0.11064350325823717, 'model__min_samples_leaf': 2, 'model__min_samples_split': 6, 'model__n_estimators': 550, 'model__oob_score': False})",-1444.3658091565396,-1458.058505639318,-1439.9590085582342,-1447.4611077846973,7.706430381836752,1
