,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model,param_model__l2_regularization,param_model__learning_rate,param_model__max_bins,param_model__max_depth,param_model__max_iter,param_model__max_leaf_nodes,param_model__min_samples_leaf,param_q,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
43,4.235103416442871,0.2061980599788846,0.8867370128631592,0.03916234779135887,HistGradientBoostingRegressor(),7,0.2,250,13,200,78,28,6,"OrderedDict([('model', HistGradientBoostingRegressor()), ('model__l2_regularization', 7), ('model__learning_rate', 0.2), ('model__max_bins', 250), ('model__max_depth', 13), ('model__max_iter', 200), ('model__max_leaf_nodes', 78), ('model__min_samples_leaf', 28), ('q', 6)])",-1404.7414579943284,-1357.870142707201,-1365.1985316730159,-1385.8140027501715,-1372.3181612160206,-1377.1884592681474,16.57856001447171,4
44,3.911929893493652,0.30124331858395714,0.7277711391448974,0.00788089616749909,HistGradientBoostingRegressor(),3,0.2,250,11,240,78,24,7,"OrderedDict([('model', HistGradientBoostingRegressor()), ('model__l2_regularization', 3), ('model__learning_rate', 0.2), ('model__max_bins', 250), ('model__max_depth', 11), ('model__max_iter', 240), ('model__max_leaf_nodes', 78), ('model__min_samples_leaf', 24), ('q', 7)])",-1403.1580856542857,-1358.1576344154998,-1382.6027737216352,-1395.0765182830214,-1459.0823499638661,-1399.6154724076616,33.39953888008402,23
45,3.9578771114349367,0.1312801274099785,0.8112788677215577,0.027645730359766727,HistGradientBoostingRegressor(),7,0.2,250,9,180,78,12,3,"OrderedDict([('model', HistGradientBoostingRegressor()), ('model__l2_regularization', 7), ('model__learning_rate', 0.2), ('model__max_bins', 250), ('model__max_depth', 9), ('model__max_iter', 180), ('model__max_leaf_nodes', 78), ('model__min_samples_leaf', 12), ('q', 3)])",-1363.3681533913282,-1375.800378155173,-1380.9658327531783,-1394.7058977206339,-1381.5978096886474,-1379.2876143417923,10.11401933063041,7
46,3.8943406105041505,0.08887285404129906,0.8104719161987305,0.013951358202141946,HistGradientBoostingRegressor(),1,0.2,250,13,180,78,24,14,"OrderedDict([('model', HistGradientBoostingRegressor()), ('model__l2_regularization', 1), ('model__learning_rate', 0.2), ('model__max_bins', 250), ('model__max_depth', 13), ('model__max_iter', 180), ('model__max_leaf_nodes', 78), ('model__min_samples_leaf', 24), ('q', 14)])",-1352.7313233003724,-1372.800817724826,-1369.5671974003005,-1378.5253958909698,-1388.724159317025,-1372.4697787266987,11.823845190183222,3
47,3.868691825866699,0.059564610696582906,0.784112548828125,0.03839119693572108,HistGradientBoostingRegressor(),5,0.2,250,13,220,78,12,3,"OrderedDict([('model', HistGradientBoostingRegressor()), ('model__l2_regularization', 5), ('model__learning_rate', 0.2), ('model__max_bins', 250), ('model__max_depth', 13), ('model__max_iter', 220), ('model__max_leaf_nodes', 78), ('model__min_samples_leaf', 12), ('q', 3)])",-1387.9347926484788,-1384.2262022023817,-1373.870014938576,-1376.2961839348648,-1408.7255956693416,-1386.2105578787284,12.364638211130247,11
48,4.909693193435669,0.12200330235420674,1.0308128356933595,0.02126736490317885,HistGradientBoostingRegressor(),3,0.2,250,13,180,78,16,6,"OrderedDict([('model', HistGradientBoostingRegressor()), ('model__l2_regularization', 3), ('model__learning_rate', 0.2), ('model__max_bins', 250), ('model__max_depth', 13), ('model__max_iter', 180), ('model__max_leaf_nodes', 78), ('model__min_samples_leaf', 16), ('q', 6)])",-1352.3424459066184,-1380.6497077307547,-1381.5514706129952,-1370.474883478909,-1405.9039014397426,-1378.1844818338038,17.39556784418399,6
49,3.931831169128418,0.11451560010868164,0.8679601669311523,0.08074352201673189,HistGradientBoostingRegressor(),3,0.2,250,9,160,78,24,4,"OrderedDict([('model', HistGradientBoostingRegressor()), ('model__l2_regularization', 3), ('model__learning_rate', 0.2), ('model__max_bins', 250), ('model__max_depth', 9), ('model__max_iter', 160), ('model__max_leaf_nodes', 78), ('model__min_samples_leaf', 24), ('q', 4)])",-1364.1530679074708,-1390.0231640844986,-1392.894749284761,-1398.3365390873325,-1398.9143484666363,-1388.86437376614,12.798119130687425,13
50,3.70895733833313,0.19136553327205516,0.7646716117858887,0.04959095588346664,HistGradientBoostingRegressor(),1,0.2,200,11,180,76,12,13,"OrderedDict([('model', HistGradientBoostingRegressor()), ('model__l2_regularization', 1), ('model__learning_rate', 0.2), ('model__max_bins', 200), ('model__max_depth', 11), ('model__max_iter', 180), ('model__max_leaf_nodes', 76), ('model__min_samples_leaf', 12), ('q', 13)])",-1387.5648911518674,-1418.3349406297289,-1396.084257107487,-1456.0873397517896,-1404.6427892688075,-1412.5428435819363,24.02858951076201,30
51,3.7309900760650634,0.0772304126334534,0.7631898403167725,0.025269801906137253,HistGradientBoostingRegressor(),7,0.2,250,13,140,56,12,14,"OrderedDict([('model', HistGradientBoostingRegressor()), ('model__l2_regularization', 7), ('model__learning_rate', 0.2), ('model__max_bins', 250), ('model__max_depth', 13), ('model__max_iter', 140), ('model__max_leaf_nodes', 56), ('model__min_samples_leaf', 12), ('q', 14)])",-1398.1165021540014,-1398.4624818209586,-1406.6060997000752,-1406.5117131431816,-1421.2221217700512,-1406.1837837176536,8.380179409564862,25
52,4.178392028808593,0.09708355881390104,0.7763152599334717,0.015917536298915104,HistGradientBoostingRegressor(),3,0.2,250,13,200,64,12,6,"OrderedDict([('model', HistGradientBoostingRegressor()), ('model__l2_regularization', 3), ('model__learning_rate', 0.2), ('model__max_bins', 250), ('model__max_depth', 13), ('model__max_iter', 200), ('model__max_leaf_nodes', 64), ('model__min_samples_leaf', 12), ('q', 6)])",-1366.7117727052698,-1375.753233003804,-1371.0483347829631,-1398.8847495425655,-1378.2661023774156,-1378.1328384824035,11.108132429003227,5
53,4.2049397945404055,0.05908283108681101,0.8498528003692627,0.006699335652730298,HistGradientBoostingRegressor(),1,0.05,250,9,140,78,26,6,"OrderedDict([('model', HistGradientBoostingRegressor()), ('model__l2_regularization', 1), ('model__learning_rate', 0.05), ('model__max_bins', 250), ('model__max_depth', 9), ('model__max_iter', 140), ('model__max_leaf_nodes', 78), ('model__min_samples_leaf', 26), ('q', 6)])",-1504.069928176508,-1508.1323543237672,-1545.0575444820295,-1530.3051941655704,-1521.08127575415,-1521.729259380405,14.932536500475255,52
54,3.9501227855682375,0.24195836597807732,0.7934072971343994,0.03175281823951943,HistGradientBoostingRegressor(),5,0.2,250,13,200,74,16,6,"OrderedDict([('model', HistGradientBoostingRegressor()), ('model__l2_regularization', 5), ('model__learning_rate', 0.2), ('model__max_bins', 250), ('model__max_depth', 13), ('model__max_iter', 200), ('model__max_leaf_nodes', 74), ('model__min_samples_leaf', 16), ('q', 6)])",-1394.0482434940336,-1364.7601754374225,-1365.581908574202,-1407.674037844098,-1447.1663370996441,-1395.84614048988,30.525907443294724,19
55,3.885656404495239,0.1353223986729289,0.7709175109863281,0.02689609698912193,HistGradientBoostingRegressor(),7,0.2,200,13,180,70,12,6,"OrderedDict([('model', HistGradientBoostingRegressor()), ('model__l2_regularization', 7), ('model__learning_rate', 0.2), ('model__max_bins', 200), ('model__max_depth', 13), ('model__max_iter', 180), ('model__max_leaf_nodes', 70), ('model__min_samples_leaf', 12), ('q', 6)])",-1380.1423808678737,-1406.8186121990734,-1443.439600127284,-1434.8813256721148,-1458.0150105149069,-1424.6593858762506,27.82027726625323,38
56,3.899902009963989,0.14336730271425632,0.7544835567474365,0.03232136778122867,HistGradientBoostingRegressor(),1,0.2,150,13,200,78,26,6,"OrderedDict([('model', HistGradientBoostingRegressor()), ('model__l2_regularization', 1), ('model__learning_rate', 0.2), ('model__max_bins', 150), ('model__max_depth', 13), ('model__max_iter', 200), ('model__max_leaf_nodes', 78), ('model__min_samples_leaf', 26), ('q', 6)])",-1386.3273985258252,-1392.384807998191,-1382.1558022114145,-1422.3152655127212,-1390.762773464814,-1394.7892095425934,14.218877016310126,18
57,3.9794434547424316,0.16436044303647537,0.7761710166931153,0.05182515378015116,HistGradientBoostingRegressor(),7,0.2,250,13,220,78,8,13,"OrderedDict([('model', HistGradientBoostingRegressor()), ('model__l2_regularization', 7), ('model__learning_rate', 0.2), ('model__max_bins', 250), ('model__max_depth', 13), ('model__max_iter', 220), ('model__max_leaf_nodes', 78), ('model__min_samples_leaf', 8), ('q', 13)])",-1362.3768293431458,-1382.330437077101,-1376.1248632735833,-1360.678205288017,-1373.3108113799049,-1370.9642292723504,8.256815338777223,1
58,3.7410160064697267,0.03677805522211984,0.818793535232544,0.026911187625976836,HistGradientBoostingRegressor(),7,0.05,150,7,120,76,28,3,"OrderedDict([('model', HistGradientBoostingRegressor()), ('model__l2_regularization', 7), ('model__learning_rate', 0.05), ('model__max_bins', 150), ('model__max_depth', 7), ('model__max_iter', 120), ('model__max_leaf_nodes', 76), ('model__min_samples_leaf', 28), ('q', 3)])",-1589.6308573992496,-1587.452491576549,-1623.7176531768064,-1591.86648996466,-1606.8106523582258,-1599.895628895098,13.711095233630564,54
59,3.9228960037231446,0.1158445513026309,0.815132999420166,0.011620529658291646,HistGradientBoostingRegressor(),7,0.2,250,9,180,68,18,10,"OrderedDict([('model', HistGradientBoostingRegressor()), ('model__l2_regularization', 7), ('model__learning_rate', 0.2), ('model__max_bins', 250), ('model__max_depth', 9), ('model__max_iter', 180), ('model__max_leaf_nodes', 68), ('model__min_samples_leaf', 18), ('q', 10)])",-1363.1165735942639,-1380.037191681254,-1416.8414699762923,-1388.9405470807992,-1400.0885231276252,-1389.804861092047,18.139189721784994,14
