,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model,param_model__criterion,param_model__max_depth,param_model__max_features,param_model__max_samples,param_model__min_impurity_decrease,param_model__min_samples_leaf,param_model__min_samples_split,param_model__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
13,40.90406374931335,0.15121616190523465,1.2466800689697266,0.13961422564302375,RandomForestRegressor(),poisson,25,0.5,0.7,0.05,90,35,550,"OrderedDict([('model', RandomForestRegressor()), ('model__criterion', 'poisson'), ('model__max_depth', 25), ('model__max_features', 0.5), ('model__max_samples', 0.7), ('model__min_impurity_decrease', 0.05), ('model__min_samples_leaf', 90), ('model__min_samples_split', 35), ('model__n_estimators', 550)])",-1870.4755022889142,-1859.5654826523953,-1897.8782150294792,-1884.808102132824,-1867.8154424470492,-1876.1085489101322,13.59250131120102,70
14,48.13016443252563,0.23157736640893714,1.2257980346679687,0.13992132493782838,RandomForestRegressor(),poisson,30,0.6,0.7,0.05,40,20,500,"OrderedDict([('model', RandomForestRegressor()), ('model__criterion', 'poisson'), ('model__max_depth', 30), ('model__max_features', 0.6), ('model__max_samples', 0.7), ('model__min_impurity_decrease', 0.05), ('model__min_samples_leaf', 40), ('model__min_samples_split', 20), ('model__n_estimators', 500)])",-1735.2683219848002,-1710.0357511080656,-1748.5043790482462,-1732.7846751829056,-1721.477448105217,-1729.6141150858468,13.02599144137988,53
15,50.06778931617737,0.20077555017882634,1.304811429977417,0.034882686975723845,RandomForestRegressor(),squared_error,25,0.7,0.7,0.1,40,40,550,"OrderedDict([('model', RandomForestRegressor()), ('model__criterion', 'squared_error'), ('model__max_depth', 25), ('model__max_features', 0.7), ('model__max_samples', 0.7), ('model__min_impurity_decrease', 0.1), ('model__min_samples_leaf', 40), ('model__min_samples_split', 40), ('model__n_estimators', 550)])",-1717.8278204455196,-1693.5107896714603,-1732.8445180185304,-1722.1755917620571,-1708.5115142986242,-1714.974046839238,13.280028225345482,51
16,47.134164571762085,0.22952557887067093,1.021024799346924,0.07711128011461314,RandomForestRegressor(),poisson,30,0.7,0.9,0.2,70,20,450,"OrderedDict([('model', RandomForestRegressor()), ('model__criterion', 'poisson'), ('model__max_depth', 30), ('model__max_features', 0.7), ('model__max_samples', 0.9), ('model__min_impurity_decrease', 0.2), ('model__min_samples_leaf', 70), ('model__min_samples_split', 20), ('model__n_estimators', 450)])",-1846.9820642512705,-1825.7632561825562,-1869.7272258331936,-1854.3738049221554,-1833.998543855318,-1846.168979008899,15.41093303603412,67
17,48.90834193229675,0.1699317810815829,1.0979791641235352,0.09932782242135865,RandomForestRegressor(),poisson,40,0.6,0.9,0.2,70,50,550,"OrderedDict([('model', RandomForestRegressor()), ('model__criterion', 'poisson'), ('model__max_depth', 40), ('model__max_features', 0.6), ('model__max_samples', 0.9), ('model__min_impurity_decrease', 0.2), ('model__min_samples_leaf', 70), ('model__min_samples_split', 50), ('model__n_estimators', 550)])",-1844.4679237997711,-1823.1309397938182,-1868.8453681095841,-1850.8959372330705,-1830.4454160125333,-1843.5571169897553,16.020792200539216,66
18,33.73907842636108,0.15809390221655745,1.0051671504974364,0.08701186574809067,RandomForestRegressor(),poisson,45,sqrt,0.9,0.2,50,50,450,"OrderedDict([('model', RandomForestRegressor()), ('model__criterion', 'poisson'), ('model__max_depth', 45), ('model__max_features', 'sqrt'), ('model__max_samples', 0.9), ('model__min_impurity_decrease', 0.2), ('model__min_samples_leaf', 50), ('model__min_samples_split', 50), ('model__n_estimators', 450)])",-1841.0602914149822,-1835.295110434158,-1874.847526522526,-1856.942482644209,-1841.6459948943418,-1849.9582811820433,14.363359671664103,69
19,39.78300790786743,0.09313211817493247,1.1646268367767334,0.02824428422640999,RandomForestRegressor(),poisson,40,0.5,0.7,0.1,70,60,500,"OrderedDict([('model', RandomForestRegressor()), ('model__criterion', 'poisson'), ('model__max_depth', 40), ('model__max_features', 0.5), ('model__max_samples', 0.7), ('model__min_impurity_decrease', 0.1), ('model__min_samples_leaf', 70), ('model__min_samples_split', 60), ('model__n_estimators', 500)])",-1837.3857147304884,-1824.6504438183138,-1865.1129102930265,-1850.1723713743875,-1829.434358606005,-1841.3511597644442,14.690700321839115,65
20,39.69487223625183,0.14353432704542368,1.269462490081787,0.01551632439754434,RandomForestRegressor(),poisson,45,sqrt,0.9,0.05,20,45,550,"OrderedDict([('model', RandomForestRegressor()), ('model__criterion', 'poisson'), ('model__max_depth', 45), ('model__max_features', 'sqrt'), ('model__max_samples', 0.9), ('model__min_impurity_decrease', 0.05), ('model__min_samples_leaf', 20), ('model__min_samples_split', 45), ('model__n_estimators', 550)])",-1662.952858261394,-1651.9729648571774,-1691.60580468543,-1672.1828627115945,-1666.674571654325,-1669.0778124339843,13.061532931435183,48
21,43.14042220115662,0.09395495029599348,1.2373858451843263,0.0359721863507617,RandomForestRegressor(),poisson,25,0.5,0.8,0.05,50,20,500,"OrderedDict([('model', RandomForestRegressor()), ('model__criterion', 'poisson'), ('model__max_depth', 25), ('model__max_features', 0.5), ('model__max_samples', 0.8), ('model__min_impurity_decrease', 0.05), ('model__min_samples_leaf', 50), ('model__min_samples_split', 20), ('model__n_estimators', 500)])",-1758.9884058560583,-1738.1923690381602,-1780.7152744510377,-1764.7367216400569,-1749.9978506123111,-1758.5261243195248,14.264197580818983,55
22,50.65092754364014,0.32158297010759906,1.4572694778442383,0.06502564930146988,RandomForestRegressor(),squared_error,45,0.5,0.8,0.05,20,65,650,"OrderedDict([('model', RandomForestRegressor()), ('model__criterion', 'squared_error'), ('model__max_depth', 45), ('model__max_features', 0.5), ('model__max_samples', 0.8), ('model__min_impurity_decrease', 0.05), ('model__min_samples_leaf', 20), ('model__min_samples_split', 65), ('model__n_estimators', 650)])",-1614.196158691173,-1594.9592941710798,-1631.2432848089031,-1611.9525355469366,-1610.89578447028,-1612.6494115376745,11.529316080888982,30
