,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model,param_model__bootstrap,param_model__criterion,param_model__max_depth,param_model__max_features,param_model__max_samples,param_model__min_impurity_decrease,param_model__min_samples_leaf,param_model__min_samples_split,param_model__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,25.441438293457033,0.09166781476754116,0.5801533222198486,0.011374513403022465,ExtraTreesRegressor(),True,squared_error,70,1.0,0.5,0.0,13,122,540,"OrderedDict([('model', ExtraTreesRegressor()), ('model__bootstrap', True), ('model__criterion', 'squared_error'), ('model__max_depth', 70), ('model__max_features', 1.0), ('model__max_samples', 0.5), ('model__min_impurity_decrease', 0.0), ('model__min_samples_leaf', 13), ('model__min_samples_split', 122), ('model__n_estimators', 540)])",-1848.7769954977064,-1831.7480592879174,-1861.721806898668,-1846.982979146232,-1841.1882064338158,-1846.0836094528681,9.81926048983793,118
1,22.720891523361207,0.09773147428832316,0.5126587867736816,0.011030805522301096,ExtraTreesRegressor(),True,squared_error,40,sqrt,0.7,0.0,29,112,540,"OrderedDict([('model', ExtraTreesRegressor()), ('model__bootstrap', True), ('model__criterion', 'squared_error'), ('model__max_depth', 40), ('model__max_features', 'sqrt'), ('model__max_samples', 0.7), ('model__min_impurity_decrease', 0.0), ('model__min_samples_leaf', 29), ('model__min_samples_split', 112), ('model__n_estimators', 540)])",-2097.405512785742,-2101.581592046668,-2114.7518380967404,-2113.9107827042344,-2086.6869774771467,-2102.867340622106,10.549765470966603,140
2,23.135986137390137,0.1093391521727367,0.5652404308319092,0.104781007741823,ExtraTreesRegressor(),True,squared_error,60,0.7,0.5,0.01,33,182,420,"OrderedDict([('model', ExtraTreesRegressor()), ('model__bootstrap', True), ('model__criterion', 'squared_error'), ('model__max_depth', 60), ('model__max_features', 0.7), ('model__max_samples', 0.5), ('model__min_impurity_decrease', 0.01), ('model__min_samples_leaf', 33), ('model__min_samples_split', 182), ('model__n_estimators', 420)])",-1996.7606063625576,-1993.198613954724,-2012.465645923682,-2001.284729026097,-1983.259700471877,-1997.3938591477877,9.592425739339351,135
3,32.36734938621521,0.09695155248536783,0.6582064151763916,0.009890005157762932,ExtraTreesRegressor(),True,squared_error,60,1.0,0.9,0.0001,25,72,480,"OrderedDict([('model', ExtraTreesRegressor()), ('model__bootstrap', True), ('model__criterion', 'squared_error'), ('model__max_depth', 60), ('model__max_features', 1.0), ('model__max_samples', 0.9), ('model__min_impurity_decrease', 0.0001), ('model__min_samples_leaf', 25), ('model__min_samples_split', 72), ('model__n_estimators', 480)])",-1757.1157964272893,-1733.5445010692058,-1767.7789165654835,-1748.4753515234522,-1752.7795975596778,-1751.9388326290216,11.21394875904493,108
4,29.80631995201111,0.10028790092430084,0.5588418960571289,0.022335900314533523,ExtraTreesRegressor(),True,squared_error,30,1.0,0.7,0.0001,21,152,460,"OrderedDict([('model', ExtraTreesRegressor()), ('model__bootstrap', True), ('model__criterion', 'squared_error'), ('model__max_depth', 30), ('model__max_features', 1.0), ('model__max_samples', 0.7), ('model__min_impurity_decrease', 0.0001), ('model__min_samples_leaf', 21), ('model__min_samples_split', 152), ('model__n_estimators', 460)])",-1860.3258470484625,-1838.9639204164782,-1875.2063862743996,-1854.8713130813758,-1848.969251128846,-1855.6673435899124,12.066302635006874,120
5,27.77640962600708,0.0889438566296338,0.5067401885986328,0.011376884183137892,ExtraTreesRegressor(),True,squared_error,70,0.7,0.7,0.001,17,142,470,"OrderedDict([('model', ExtraTreesRegressor()), ('model__bootstrap', True), ('model__criterion', 'squared_error'), ('model__max_depth', 70), ('model__max_features', 0.7), ('model__max_samples', 0.7), ('model__min_impurity_decrease', 0.001), ('model__min_samples_leaf', 17), ('model__min_samples_split', 142), ('model__n_estimators', 470)])",-1873.3166108306516,-1857.2587632951054,-1890.5713024883607,-1871.9059291222889,-1865.9066058525489,-1871.7918423177912,10.962230185926837,122
6,25.288921880722047,0.05776183505724714,0.6908593654632569,0.009428329630199577,ExtraTreesRegressor(),True,squared_error,70,log2,0.5,0.001,1,72,510,"OrderedDict([('model', ExtraTreesRegressor()), ('model__bootstrap', True), ('model__criterion', 'squared_error'), ('model__max_depth', 70), ('model__max_features', 'log2'), ('model__max_samples', 0.5), ('model__min_impurity_decrease', 0.001), ('model__min_samples_leaf', 1), ('model__min_samples_split', 72), ('model__n_estimators', 510)])",-1805.027320009359,-1795.519912947898,-1826.4655537063886,-1809.165880625514,-1805.2850871255202,-1808.2927508829357,10.137727427683062,114
7,25.632644987106325,0.07954968425333242,0.3970953464508057,0.005925765204200151,ExtraTreesRegressor(),True,squared_error,40,log2,0.5,0.0,13,112,380,"OrderedDict([('model', ExtraTreesRegressor()), ('model__bootstrap', True), ('model__criterion', 'squared_error'), ('model__max_depth', 40), ('model__max_features', 'log2'), ('model__max_samples', 0.5), ('model__min_impurity_decrease', 0.0), ('model__min_samples_leaf', 13), ('model__min_samples_split', 112), ('model__n_estimators', 380)])",-2042.4258177031277,-2033.597622173349,-2051.855160328632,-2047.3969722236893,-2037.1890107782208,-2042.4929166414036,6.617606083163592,139
8,25.268915224075318,0.15138191001381066,0.5357376098632812,0.048889679941381874,ExtraTreesRegressor(),True,squared_error,30,0.7,0.5,0.0001,5,172,510,"OrderedDict([('model', ExtraTreesRegressor()), ('model__bootstrap', True), ('model__criterion', 'squared_error'), ('model__max_depth', 30), ('model__max_features', 0.7), ('model__max_samples', 0.5), ('model__min_impurity_decrease', 0.0001), ('model__min_samples_leaf', 5), ('model__min_samples_split', 172), ('model__n_estimators', 510)])",-1920.5749356693243,-1906.0879226170507,-1940.955143630717,-1923.674417730143,-1917.2811923834697,-1921.714722406141,11.306514835064712,128
9,27.666167306900025,0.1450555949614404,0.6355672836303711,0.028236222138461015,ExtraTreesRegressor(),True,squared_error,50,log2,0.9,0.001,9,172,490,"OrderedDict([('model', ExtraTreesRegressor()), ('model__bootstrap', True), ('model__criterion', 'squared_error'), ('model__max_depth', 50), ('model__max_features', 'log2'), ('model__max_samples', 0.9), ('model__min_impurity_decrease', 0.001), ('model__min_samples_leaf', 9), ('model__min_samples_split', 172), ('model__n_estimators', 490)])",-1980.3481864295222,-1987.796487145825,-2002.7040174039096,-1992.5912273311128,-1987.5688401241052,-1990.201751686895,7.373283000189973,133
10,29.777941465377808,0.10629257228532216,0.751544189453125,0.02504993634348617,ExtraTreesRegressor(),True,squared_error,30,0.7,0.7,0.0001,9,42,510,"OrderedDict([('model', ExtraTreesRegressor()), ('model__bootstrap', True), ('model__criterion', 'squared_error'), ('model__max_depth', 30), ('model__max_features', 0.7), ('model__max_samples', 0.7), ('model__min_impurity_decrease', 0.0001), ('model__min_samples_leaf', 9), ('model__min_samples_split', 42), ('model__n_estimators', 510)])",-1669.1005572145552,-1652.2153714948665,-1684.0288315236767,-1661.939465391504,-1673.4628057006232,-1668.149406265045,10.712141503409658,89
