,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model,param_model__l2_regularization,param_model__learning_rate,param_model__max_bins,param_model__max_depth,param_model__max_features,param_model__max_iter,param_model__max_leaf_nodes,param_model__min_samples_leaf,param_q,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
91,3.9887434005737306,0.3147678541261432,0.7564839839935302,0.06253676731467732,HistGradientBoostingRegressor(),7,0.2,240,23,0.8,230,68,36,7,"OrderedDict([('model', HistGradientBoostingRegressor()), ('model__l2_regularization', 7), ('model__learning_rate', 0.2), ('model__max_bins', 240), ('model__max_depth', 23), ('model__max_features', 0.8), ('model__max_iter', 230), ('model__max_leaf_nodes', 68), ('model__min_samples_leaf', 36), ('q', 7)])",-1442.3669577711162,-1386.8557086540777,-1367.8729412556127,-1361.606180444534,-1389.6399005655485,-1389.668337738178,28.451995445729104,36
92,3.53504958152771,0.04790157105897022,0.7850964546203614,0.025318733267769684,HistGradientBoostingRegressor(),9,0.2,200,49,0.7,90,80,36,12,"OrderedDict([('model', HistGradientBoostingRegressor()), ('model__l2_regularization', 9), ('model__learning_rate', 0.2), ('model__max_bins', 200), ('model__max_depth', 49), ('model__max_features', 0.7), ('model__max_iter', 90), ('model__max_leaf_nodes', 80), ('model__min_samples_leaf', 36), ('q', 12)])",-1467.4139553348552,-1459.237705622201,-1432.0042686971433,-1439.0016749829908,-1453.2661015514377,-1450.1847412377258,12.991438077371466,115
93,3.487416124343872,0.08814719978039627,0.7914318561553955,0.04452647658551142,HistGradientBoostingRegressor(),3,0.2,250,45,0.7,50,80,39,12,"OrderedDict([('model', HistGradientBoostingRegressor()), ('model__l2_regularization', 3), ('model__learning_rate', 0.2), ('model__max_bins', 250), ('model__max_depth', 45), ('model__max_features', 0.7), ('model__max_iter', 50), ('model__max_leaf_nodes', 80), ('model__min_samples_leaf', 39), ('q', 12)])",-1500.5903869983727,-1495.6152929735856,-1470.042157807659,-1477.8342749105714,-1495.1814135254908,-1487.852705243136,11.779650386478394,130
94,3.9824169158935545,0.11327528830234834,0.8849693298339844,0.01440020201786306,HistGradientBoostingRegressor(),9,0.2,240,35,0.7,230,48,33,14,"OrderedDict([('model', HistGradientBoostingRegressor()), ('model__l2_regularization', 9), ('model__learning_rate', 0.2), ('model__max_bins', 240), ('model__max_depth', 35), ('model__max_features', 0.7), ('model__max_iter', 230), ('model__max_leaf_nodes', 48), ('model__min_samples_leaf', 33), ('q', 14)])",-1429.9977886490938,-1405.2102729082633,-1399.6678094971162,-1400.163740862888,-1446.801071728823,-1416.368136729237,18.856893934294362,77
95,4.09210958480835,0.18969215903024295,0.7969656944274902,0.021618967920968787,HistGradientBoostingRegressor(),7,0.2,250,49,1.0,270,80,30,8,"OrderedDict([('model', HistGradientBoostingRegressor()), ('model__l2_regularization', 7), ('model__learning_rate', 0.2), ('model__max_bins', 250), ('model__max_depth', 49), ('model__max_features', 1.0), ('model__max_iter', 270), ('model__max_leaf_nodes', 80), ('model__min_samples_leaf', 30), ('q', 8)])",-1374.479435186723,-1398.1077558870466,-1346.5978326548482,-1360.2739620126035,-1377.2121409472268,-1371.3342253376895,17.29440789830414,4
96,4.73968825340271,0.23818419024447499,0.850757360458374,0.024099858202781453,HistGradientBoostingRegressor(),3,0.1,180,39,0.7,330,80,33,7,"OrderedDict([('model', HistGradientBoostingRegressor()), ('model__l2_regularization', 3), ('model__learning_rate', 0.1), ('model__max_bins', 180), ('model__max_depth', 39), ('model__max_features', 0.7), ('model__max_iter', 330), ('model__max_leaf_nodes', 80), ('model__min_samples_leaf', 33), ('q', 7)])",-1430.489195540466,-1400.2256673645206,-1364.0285353451093,-1367.090729638349,-1420.1078494293456,-1396.388395463558,27.002649824243036,49
97,3.9862152576446532,0.37298990561883283,0.8151183605194092,0.09247475740228604,HistGradientBoostingRegressor(),7,0.2,250,21,1.0,330,76,42,7,"OrderedDict([('model', HistGradientBoostingRegressor()), ('model__l2_regularization', 7), ('model__learning_rate', 0.2), ('model__max_bins', 250), ('model__max_depth', 21), ('model__max_features', 1.0), ('model__max_iter', 330), ('model__max_leaf_nodes', 76), ('model__min_samples_leaf', 42), ('q', 7)])",-1401.9729394683793,-1373.5638904588036,-1358.4558779364684,-1395.2107212269905,-1399.0842008666934,-1385.657525991467,16.87552980881244,26
98,3.9801097869873048,0.18380726341411563,0.8020301342010498,0.008735019540608468,HistGradientBoostingRegressor(),5,0.2,250,43,0.8,270,80,36,10,"OrderedDict([('model', HistGradientBoostingRegressor()), ('model__l2_regularization', 5), ('model__learning_rate', 0.2), ('model__max_bins', 250), ('model__max_depth', 43), ('model__max_features', 0.8), ('model__max_iter', 270), ('model__max_leaf_nodes', 80), ('model__min_samples_leaf', 36), ('q', 10)])",-1397.8957193491706,-1394.2105646460234,-1362.7912530194708,-1387.3647367132216,-1417.3736809996901,-1391.9271909455151,17.652647678412002,41
99,4.00365138053894,0.3913111277542333,0.7610737323760987,0.06466101473103673,HistGradientBoostingRegressor(),11,0.2,230,45,0.8,270,80,30,11,"OrderedDict([('model', HistGradientBoostingRegressor()), ('model__l2_regularization', 11), ('model__learning_rate', 0.2), ('model__max_bins', 230), ('model__max_depth', 45), ('model__max_features', 0.8), ('model__max_iter', 270), ('model__max_leaf_nodes', 80), ('model__min_samples_leaf', 30), ('q', 11)])",-1411.178295176027,-1365.9797261293297,-1392.8251197217241,-1361.7520410004138,-1400.1600292475412,-1386.379042255007,19.334382595909723,27
100,4.146019029617309,0.1558668349109987,0.8292967796325683,0.02788527599366832,HistGradientBoostingRegressor(),11,0.2,250,39,0.6,210,76,39,10,"OrderedDict([('model', HistGradientBoostingRegressor()), ('model__l2_regularization', 11), ('model__learning_rate', 0.2), ('model__max_bins', 250), ('model__max_depth', 39), ('model__max_features', 0.6), ('model__max_iter', 210), ('model__max_leaf_nodes', 76), ('model__min_samples_leaf', 39), ('q', 10)])",-1392.9960136466946,-1410.524566466104,-1373.4768227932166,-1391.343032989696,-1413.287276506772,-1396.3255424804966,14.472649085436304,48
